timestamp,grid_id,event_count_30d,event_count_lag1,max_mag_30d,mean_depth_30d,cum_energy_30d,recent_m45_30d,target_m5_14d,m5_count_next_14d,log_cum_energy_30d,log_event_count_30d,log_event_count_lag1,mean_depth_imputed
2000-12-27 23:18:53.720,Central (35–40N) | West (130–138E),1,0,3.8,33.0,31622776601.683792,0,0,0,10.500000000013733,0.6931471805599453,0.0,33.0
2000-12-27 23:18:53.720,North (40–45N) | East (138–146E),8,12,4.8,119.8625,2153922760379.03,1,0,0,12.333230125451198,2.1972245773362196,2.5649493574615367,119.8625
2000-12-27 23:18:53.720,North (40–45N) | West (130–138E),0,2,0.0,,0.0,0,0,0,0.0,0.0,1.0986122886681098,86.05303030303031
2000-12-27 23:18:53.720,South (30–35N) | East (138–146E),7,4,4.5,159.78571428571428,845776551503.9171,1,0,0,11.927255640502077,2.0794415416798357,1.6094379124341003,159.78571428571428
2000-12-27 23:18:53.720,South (30–35N) | West (130–138E),7,3,4.5,298.90000000000003,966319004110.3436,1,0,0,11.985120520675162,2.0794415416798357,1.3862943611198906,298.90000000000003
2001-01-26 23:18:53.720,Central (35–40N) | East (138–146E),4,3,5.3,30.1,7479889279573.196,1,0,0,12.873895169304856,1.6094379124341003,1.3862943611198906,30.1
2001-01-26 23:18:53.720,Central (35–40N) | West (130–138E),6,1,5.3,27.28333333333333,7658431868442.876,1,0,0,12.884139853105122,1.9459101490553132,0.6931471805599453,27.28333333333333
2001-01-26 23:18:53.720,North (40–45N) | East (138–146E),1,8,4.8,67.3,1000000000000.0,1,0,0,12.000000000000433,0.6931471805599453,2.1972245773362196,67.3
2001-01-26 23:18:53.720,North (40–45N) | West (130–138E),0,0,0.0,,0.0,0,0,0,0.0,0.0,0.0,86.05303030303031
2001-01-26 23:18:53.720,South (30–35N) | East (138–146E),9,7,4.9,118.3111111111111,3455598732375.4316,1,0,0,12.538523306019703,2.302585092994046,2.0794415416798357,118.3111111111111
2001-01-26 23:18:53.720,South (30–35N) | West (130–138E),8,7,4.9,93.51249999999999,2597926838532.014,1,0,0,12.414626916533472,2.1972245773362196,2.0794415416798357,93.51249999999999
2001-02-25 23:18:53.720,Central (35–40N) | East (138–146E),10,4,5.9,61.67999999999999,45935004780024.375,1,1,1,13.66214376590423,2.3978952727983707,1.6094379124341003,61.67999999999999
2001-02-25 23:18:53.720,Central (35–40N) | West (130–138E),3,6,4.2,33.0,278113369440.811,0,0,0,11.444221866732708,1.3862943611198906,1.9459101490553132,33.0
2001-02-25 23:18:53.720,North (40–45N) | East (138–146E),6,1,4.4,119.3,635247400403.6116,0,0,0,11.80294289648157,1.9459101490553132,0.6931471805599453,119.3
2001-02-25 23:18:53.720,North (40–45N) | West (130–138E),0,0,0.0,,0.0,0,0,0,0.0,0.0,0.0,86.05303030303031
2001-02-25 23:18:53.720,South (30–35N) | East (138–146E),9,9,4.7,121.93333333333334,2427478999521.9507,1,0,0,12.385155481451,2.302585092994046,2.302585092994046,121.93333333333334
2001-02-25 23:18:53.720,South (30–35N) | West (130–138E),5,8,4.9,121.85999999999999,2998751746964.542,1,0,0,12.476940513980397,1.791759469228055,2.1972245773362196,121.85999999999999
2001-03-27 23:18:53.720,Central (35–40N) | East (138–146E),14,10,5.3,49.31428571428571,12980333273754.332,1,1,1,13.11328584324207,2.70805020110221,2.3978952727983707,49.31428571428571
2001-03-27 23:18:53.720,Central (35–40N) | West (130–138E),1,3,4.1,267.2,89125093813.3744,0,0,0,10.950000000004872,0.6931471805599453,1.3862943611198906,267.2
2001-03-27 23:18:53.720,North (40–45N) | East (138–146E),4,6,4.6,124.15,620171511833.4067,1,1,1,11.792511812631268,1.6094379124341003,1.9459101490553132,124.15
2001-03-27 23:18:53.720,North (40–45N) | West (130–138E),1,0,4.1,281.4,89125093813.3744,0,0,0,10.950000000004872,0.6931471805599453,0.0,281.4
2001-03-27 23:18:53.720,South (30–35N) | East (138–146E),8,9,4.5,176.8125,736737185353.5486,1,1,1,11.867312590564437,2.1972245773362196,2.302585092994046,176.8125
2001-03-27 23:18:53.720,South (30–35N) | West (130–138E),15,5,6.8,112.44000000000001,1005246755106654.8,1,0,0,15.002272679893279,2.772588722239781,1.791759469228055,112.44000000000001
2001-04-26 23:18:53.720,Central (35–40N) | East (138–146E),14,14,5.4,58.07142857142858,12900833449730.348,1,0,0,13.110617768510632,2.70805020110221,2.70805020110221,58.07142857142858
2001-04-26 23:18:53.720,Central (35–40N) | West (130–138E),4,1,4.6,121.725,698076421103.7615,1,0,0,11.843902969109342,1.6094379124341003,0.6931471805599453,121.725
2001-04-26 23:18:53.720,North (40–45N) | East (138–146E),10,4,6.0,76.94000000000001,92283778094257.28,1,0,0,13.96512536621209,2.3978952727983707,1.6094379124341003,76.94000000000001
2001-04-26 23:18:53.720,North (40–45N) | West (130–138E),1,1,4.2,489.4,125892541179.41713,0,0,0,11.100000000003451,0.6931471805599453,0.6931471805599453,489.4
2001-04-26 23:18:53.720,South (30–35N) | East (138–146E),15,8,6.0,97.10666666666667,72694214998317.9,1,0,0,13.86149985110287,2.772588722239781,2.1972245773362196,97.10666666666667
2001-04-26 23:18:53.720,South (30–35N) | West (130–138E),7,15,5.7,136.91428571428574,31125643267919.016,1,0,0,13.493118335680379,2.0794415416798357,2.772588722239781,136.91428571428574
2001-05-26 23:18:53.720,Central (35–40N) | East (138–146E),8,14,5.0,65.1375,2705360470251.1567,1,0,0,12.43222513998282,2.1972245773362196,2.70805020110221,65.1375
2001-05-26 23:18:53.720,Central (35–40N) | West (130–138E),1,4,3.8,368.6,31622776601.683792,0,0,0,10.500000000013733,0.6931471805599453,1.6094379124341003,368.6
2001-05-26 23:18:53.720,North (40–45N) | East (138–146E),6,10,5.0,75.66666666666667,4934728328750.118,1,0,0,12.69326324848044,1.9459101490553132,2.3978952727983707,75.66666666666667
2001-05-26 23:18:53.720,North (40–45N) | West (130–138E),0,1,0.0,,0.0,0,0,0,0.0,0.0,0.6931471805599453,86.05303030303031
